InvestmentVehicle_Id|_Id|PackageBody_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|F000000M03|1|2014-06-10|62903
2|F000000MAH|1|2014-06-10|62903
3|F000000MK9|1|2014-06-10|62903
4|F000000MT7|1|2014-06-10|62903
5|F000000MZX|1|2014-06-10|62903
6|F000000N51|1|2014-06-10|62903
7|F000000NA6|1|2014-06-10|62903
8|F000000NF4|1|2014-06-10|62903
9|F000000NIJ|1|2014-06-10|62903
10|F000000NKW|1|2014-06-10|62903
11|F000000NNM|1|2014-06-10|62903
12|F000000NQ4|1|2014-06-10|62903
13|F000001WS8|1|2014-06-10|62903
14|F000001WUL|1|2014-06-10|62903
15|F000001WX4|1|2014-06-10|62903
16|F0000022LY|1|2014-06-10|62903
17|F0000025IZ|1|2014-06-10|62903
18|F0000028LI|1|2014-06-10|62903
19|F000002J9X|1|2014-06-10|62903
20|F000002MLV|1|2014-06-10|62903
21|F000002QPO|1|2014-06-10|62903
22|F000003TLT|1|2014-06-10|62903
23|F000003Y95|1|2014-06-10|62903
24|F000003YMB|1|2014-06-10|62903
25|F0000040SX|1|2014-06-10|62903
26|F0000044IB|1|2014-06-10|62903
27|F000005F2E|1|2014-06-10|62903
28|F000005HFU|1|2014-06-10|62903
29|F000005IY1|1|2014-06-10|62903
30|F000005KCV|1|2014-06-10|62903
31|F000005QK6|1|2014-06-10|62903
32|F00000GVUZ|1|2014-06-10|62903
33|F00000GYH5|1|2014-06-10|62903
34|F00000H4U9|1|2014-06-10|62903
35|F00000H68U|1|2014-06-10|62903
36|F00000HH2E|1|2014-06-10|62903
37|F00000IS1I|1|2014-06-10|62903
38|F00000J3O0|1|2014-06-10|62903
39|F00000J7GY|1|2014-06-10|62903
40|F00000J8E9|1|2014-06-10|62903
41|F00000JNFF|1|2014-06-10|62903
42|F00000JQ8U|1|2014-06-10|62903
43|F00000JSF3|1|2014-06-10|62903
44|F00000JTSB|1|2014-06-10|62903
45|F00000JWDH|1|2014-06-10|62903
46|F00000JYL2|1|2014-06-10|62903
47|F00000LI61|1|2014-06-10|62903
48|F00000LKJK|1|2014-06-10|62903
49|F00000LL2A|1|2014-06-10|62903
50|F00000LNP4|1|2014-06-10|62903
51|F000000LVH|1|2014-06-10|62903
52|F000000LVN|1|2014-06-10|62903
53|F000000LVT|1|2014-06-10|62903
54|F000000LW0|1|2014-06-10|62903
55|F000000LW6|1|2014-06-10|62903
56|F000000LWC|1|2014-06-10|62903
