_CurrencyCode|text|HoldingDetail_Id|LocalMarketValue_Id|DataEffectiveDT|DataObjectInstanceVersionKey
JPY||4093|179|2014-06-10|62903
JPY||4094|180|2014-06-10|62903
JPY||4095|181|2014-06-10|62903
JPY||4096|182|2014-06-10|62903
JPY||4097|183|2014-06-10|62903
JPY||4098|184|2014-06-10|62903
USD||4099|185|2014-06-10|62903
USD||4100|186|2014-06-10|62903
JPY||4101|187|2014-06-10|62903
USD||4102|188|2014-06-10|62903
USD||4546|189|2014-06-10|62903
USD||4547|190|2014-06-10|62903
USD||4548|191|2014-06-10|62903
USD||4549|192|2014-06-10|62903
USD||4550|193|2014-06-10|62903
USD||4551|194|2014-06-10|62903
USD||4552|195|2014-06-10|62903
USD||4553|196|2014-06-10|62903
USD||4554|197|2014-06-10|62903
USD||4555|198|2014-06-10|62903
USD||4556|199|2014-06-10|62903
USD||4557|200|2014-06-10|62903
USD||4558|201|2014-06-10|62903
USD||4559|202|2014-06-10|62903
USD||4560|203|2014-06-10|62903
USD||4561|204|2014-06-10|62903
USD||4562|205|2014-06-10|62903
USD||4563|206|2014-06-10|62903
USD||4564|207|2014-06-10|62903
USD||4565|208|2014-06-10|62903
USD||4566|209|2014-06-10|62903
USD||4567|210|2014-06-10|62903
USD||4568|211|2014-06-10|62903
USD||4569|212|2014-06-10|62903
USD||4570|213|2014-06-10|62903
USD||4571|214|2014-06-10|62903
USD||4572|215|2014-06-10|62903
USD||4573|216|2014-06-10|62903
USD||4574|217|2014-06-10|62903
USD||4575|218|2014-06-10|62903
USD||4576|219|2014-06-10|62903
USD||4577|220|2014-06-10|62903
USD||4578|221|2014-06-10|62903
USD||4579|222|2014-06-10|62903
USD||4581|223|2014-06-10|62903
USD||4582|224|2014-06-10|62903
USD||4583|225|2014-06-10|62903
USD||4584|226|2014-06-10|62903
USD||4585|227|2014-06-10|62903
USD||4586|228|2014-06-10|62903
USD||4587|229|2014-06-10|62903
USD||4588|230|2014-06-10|62903
USD||4589|231|2014-06-10|62903
