FundShareClass_Id|_Id|InvestmentVehicle_Id|DataEffectiveDT|DataObjectInstanceVersionKey
3166|F00000QM1P|3166|2014-06-10|62903
3167|F00000QM1R|3167|2014-06-10|62903
3168|F00000QM1T|3168|2014-06-10|62903
3169|F00000QM1V|3169|2014-06-10|62903
3170|F00000QM1X|3170|2014-06-10|62903
3171|F00000QM23|3171|2014-06-10|62903
3172|F00000QNSP|3172|2014-06-10|62903
3173|F00000QO6X|3173|2014-06-10|62903
3174|F00000QO6Z|3174|2014-06-10|62903
3175|F00000QO71|3175|2014-06-10|62903
3176|F00000QP04|3176|2014-06-10|62903
3177|F00000QP06|3177|2014-06-10|62903
3178|F00000QP08|3178|2014-06-10|62903
3179|F00000QQUV|3179|2014-06-10|62903
3180|F00000QQUX|3180|2014-06-10|62903
3181|F00000QQUZ|3181|2014-06-10|62903
3182|F00000QSGU|3182|2014-06-10|62903
3183|F00000QSGW|3183|2014-06-10|62903
3184|F00000QSGY|3184|2014-06-10|62903
3185|F00000QSH0|3185|2014-06-10|62903
3186|F00000QSH2|3186|2014-06-10|62903
3187|F00000QSH4|3187|2014-06-10|62903
3188|F00000QSZE|3188|2014-06-10|62903
3189|F00000QSZG|3189|2014-06-10|62903
3190|F00000QSZI|3190|2014-06-10|62903
3191|F00000QSZK|3191|2014-06-10|62903
3192|F00000QSZM|3192|2014-06-10|62903
3193|F00000QSZO|3193|2014-06-10|62903
3194|F00000QSZQ|3194|2014-06-10|62903
3195|F00000QTZR|3195|2014-06-10|62903
3196|F00000QTZT|3196|2014-06-10|62903
3197|F00000QTZV|3197|2014-06-10|62903
3198|F00000QTZX|3198|2014-06-10|62903
3199|F00000RG3T|3199|2014-06-10|62903
3200|F00000RG3W|3200|2014-06-10|62903
3201|F00000SCKN|3201|2014-06-10|62903
3202|F00000SCKP|3202|2014-06-10|62903
3203|F00000SCKR|3203|2014-06-10|62903
3204|F00000SCKT|3204|2014-06-10|62903
3205|F00000SCT6|3205|2014-06-10|62903
3206|F00000SE9D|3206|2014-06-10|62903
3207|F00000SE9F|3207|2014-06-10|62903
3208|F00000SEAW|3208|2014-06-10|62903
3209|F00000SEL1|3209|2014-06-10|62903
3210|F00000SEL3|3210|2014-06-10|62903
3211|F00000SEL5|3211|2014-06-10|62903
3212|F00000SEL7|3212|2014-06-10|62903
3213|F00000SEL9|3213|2014-06-10|62903
3214|F00000SG5S|3214|2014-06-10|62903
3215|F00000SG5U|3215|2014-06-10|62903
3216|F00000SGE9|3216|2014-06-10|62903
3217|F00000SGEB|3217|2014-06-10|62903
3218|F00000SGUP|3218|2014-06-10|62903
3219|F00000SI7L|3219|2014-06-10|62903
3220|F00000SI7N|3220|2014-06-10|62903
3221|F00000SIMV|3221|2014-06-10|62903
3222|F00000SIMX|3222|2014-06-10|62903
3223|F00000SIMZ|3223|2014-06-10|62903
3224|F00000SIN1|3224|2014-06-10|62903
3225|F00000SIN3|3225|2014-06-10|62903
3226|F00000SIN5|3226|2014-06-10|62903
3227|F00000SIN7|3227|2014-06-10|62903
3228|F00000SIOF|3228|2014-06-10|62903
3229|F00000SIOH|3229|2014-06-10|62903
3230|F00000SIOK|3230|2014-06-10|62903
3231|F00000SJBY|3231|2014-06-10|62903
3232|F00000SJC0|3232|2014-06-10|62903
3233|F00000SJC3|3233|2014-06-10|62903
3234|F00000SJLJ|3234|2014-06-10|62903
3235|F00000SJLL|3235|2014-06-10|62903
3236|F00000SJLN|3236|2014-06-10|62903
3237|F00000SJLR|3237|2014-06-10|62903
3238|F00000SJLT|3238|2014-06-10|62903
3239|F00000SKKD|3239|2014-06-10|62903
3240|F00000SKKF|3240|2014-06-10|62903
3241|F00000SPTC|3241|2014-06-10|62903
3242|F00000SPTF|3242|2014-06-10|62903
3243|F00000SPTH|3243|2014-06-10|62903
3244|F00000SPTL|3244|2014-06-10|62903
3245|F00000SPTN|3245|2014-06-10|62903
3246|F00000SS8X|3246|2014-06-10|62903
3247|F00000SS91|3247|2014-06-10|62903
3248|F00000SS93|3248|2014-06-10|62903
3249|F00000SS95|3249|2014-06-10|62903
3250|F00000SS97|3250|2014-06-10|62903
3251|F00000NN2T|3251|2014-06-10|62903
3252|F00000NN2V|3252|2014-06-10|62903
3253|F00000NN2X|3253|2014-06-10|62903
3254|F00000NN2Z|3254|2014-06-10|62903
3255|F00000NN31|3255|2014-06-10|62903
3256|F00000NN33|3256|2014-06-10|62903
3257|F00000NNH3|3257|2014-06-10|62903
3258|F00000NO9A|3258|2014-06-10|62903
3259|F00000NO9C|3259|2014-06-10|62903
3260|F00000NO9H|3260|2014-06-10|62903
3261|F00000NOZQ|3261|2014-06-10|62903
3262|F00000NPZ6|3262|2014-06-10|62903
3263|F00000NPZ9|3263|2014-06-10|62903
3264|F00000NPZB|3264|2014-06-10|62903
3265|F00000NPZD|3265|2014-06-10|62903
3266|F00000NQ8Z|3266|2014-06-10|62903
3267|F00000NQ92|3267|2014-06-10|62903
3268|F00000NS7S|3268|2014-06-10|62903
3269|F00000NS7U|3269|2014-06-10|62903
3270|F00000NS7W|3270|2014-06-10|62903
3271|F00000NS83|3271|2014-06-10|62903
3272|F00000NS85|3272|2014-06-10|62903
3273|F00000NS87|3273|2014-06-10|62903
3274|F00000NS89|3274|2014-06-10|62903
3275|F00000NS8B|3275|2014-06-10|62903
3276|F00000NS8D|3276|2014-06-10|62903
3277|F00000NS8L|3277|2014-06-10|62903
3278|F00000NY7S|3278|2014-06-10|62903
3279|F00000NY7U|3279|2014-06-10|62903
3280|F00000NZSC|3280|2014-06-10|62903
3281|F00000NZSF|3281|2014-06-10|62903
3282|F00000NZSI|3282|2014-06-10|62903
3283|F00000NZVZ|3283|2014-06-10|62903
3284|F00000O0I5|3284|2014-06-10|62903
3285|F00000O0I8|3285|2014-06-10|62903
3286|F00000O0IA|3286|2014-06-10|62903
3287|F00000O17E|3287|2014-06-10|62903
3288|F00000O2Z4|3288|2014-06-10|62903
3289|F00000O2Z8|3289|2014-06-10|62903
3290|F00000O2ZA|3290|2014-06-10|62903
3291|F00000O2ZC|3291|2014-06-10|62903
3292|F00000O2ZE|3292|2014-06-10|62903
3293|F00000O2ZG|3293|2014-06-10|62903
3294|F00000O4HD|3294|2014-06-10|62903
3295|F00000O4NX|3295|2014-06-10|62903
3296|F00000O4O0|3296|2014-06-10|62903
3297|F00000O4O2|3297|2014-06-10|62903
3298|F00000O4O4|3298|2014-06-10|62903
3299|F00000O5F7|3299|2014-06-10|62903
3300|F00000O5F9|3300|2014-06-10|62903
3301|F000000N4Y|3301|2014-06-10|62903
3302|F000000N50|3302|2014-06-10|62903
3303|F000000N52|3303|2014-06-10|62903
3304|F000000N54|3304|2014-06-10|62903
3305|F000000N56|3305|2014-06-10|62903
3306|F000000N58|3306|2014-06-10|62903
3307|F000000N5B|3307|2014-06-10|62903
3308|F000000N5E|3308|2014-06-10|62903
3309|F000000N5I|3309|2014-06-10|62903
3310|F000000N5L|3310|2014-06-10|62903
3311|F000000N5N|3311|2014-06-10|62903
3312|F000000N5Q|3312|2014-06-10|62903
3313|F000000N5T|3313|2014-06-10|62903
3314|F000000N5V|3314|2014-06-10|62903
3315|F000000N60|3315|2014-06-10|62903
3316|F000000N62|3316|2014-06-10|62903
3317|F000000N64|3317|2014-06-10|62903
3318|F000000N67|3318|2014-06-10|62903
3319|F000000N69|3319|2014-06-10|62903
3320|F000000N6B|3320|2014-06-10|62903
3321|F000000N6E|3321|2014-06-10|62903
3322|F000000N6G|3322|2014-06-10|62903
3323|F000000N6J|3323|2014-06-10|62903
3324|F000000N6L|3324|2014-06-10|62903
3325|F000000N6N|3325|2014-06-10|62903
3326|F000000N6P|3326|2014-06-10|62903
3327|F000000N75|3327|2014-06-10|62903
3328|F000000N78|3328|2014-06-10|62903
3329|F000000N7B|3329|2014-06-10|62903
3330|F000000N7D|3330|2014-06-10|62903
3331|F000000N7G|3331|2014-06-10|62903
3332|F000000N7J|3332|2014-06-10|62903
3333|F000000N7L|3333|2014-06-10|62903
3334|F000000N7N|3334|2014-06-10|62903
