AssetAllocation_Id|PortfolioBreakdown_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|1|2014-06-10|62903
2|2|2014-06-10|62903
3|3|2014-06-10|62903
4|4|2014-06-10|62903
5|5|2014-06-10|62903
6|6|2014-06-10|62903
7|7|2014-06-10|62903
8|8|2014-06-10|62903
9|9|2014-06-10|62903
10|10|2014-06-10|62903
11|11|2014-06-10|62903
12|12|2014-06-10|62903
13|13|2014-06-10|62903
14|14|2014-06-10|62903
15|15|2014-06-10|62903
16|16|2014-06-10|62903
17|17|2014-06-10|62903
18|18|2014-06-10|62903
19|19|2014-06-10|62903
20|20|2014-06-10|62903
21|21|2014-06-10|62903
22|22|2014-06-10|62903
23|23|2014-06-10|62903
24|24|2014-06-10|62903
25|25|2014-06-10|62903
26|26|2014-06-10|62903
27|27|2014-06-10|62903
28|28|2014-06-10|62903
29|29|2014-06-10|62903
30|30|2014-06-10|62903
31|31|2014-06-10|62903
32|32|2014-06-10|62903
33|33|2014-06-10|62903
34|34|2014-06-10|62903
35|35|2014-06-10|62903
36|36|2014-06-10|62903
37|37|2014-06-10|62903
38|38|2014-06-10|62903
39|39|2014-06-10|62903
40|40|2014-06-10|62903
41|41|2014-06-10|62903
42|42|2014-06-10|62903
43|43|2014-06-10|62903
44|44|2014-06-10|62903
45|45|2014-06-10|62903
46|46|2014-06-10|62903
47|47|2014-06-10|62903
48|48|2014-06-10|62903
49|49|2014-06-10|62903
50|50|2014-06-10|62903
51|51|2014-06-10|62903
52|52|2014-06-10|62903
53|53|2014-06-10|62903
54|54|2014-06-10|62903
55|55|2014-06-10|62903
56|56|2014-06-10|62903
57|57|2014-06-10|62903
58|58|2014-06-10|62903
59|59|2014-06-10|62903
60|60|2014-06-10|62903
61|61|2014-06-10|62903
62|62|2014-06-10|62903
63|63|2014-06-10|62903
64|64|2014-06-10|62903
65|65|2014-06-10|62903
66|66|2014-06-10|62903
67|67|2014-06-10|62903
68|68|2014-06-10|62903
69|69|2014-06-10|62903
70|70|2014-06-10|62903
71|71|2014-06-10|62903
72|72|2014-06-10|62903
73|73|2014-06-10|62903
74|74|2014-06-10|62903
75|75|2014-06-10|62903
76|76|2014-06-10|62903
77|77|2014-06-10|62903
78|78|2014-06-10|62903
79|79|2014-06-10|62903
80|80|2014-06-10|62903
81|81|2014-06-10|62903
82|82|2014-06-10|62903
83|83|2014-06-10|62903
84|84|2014-06-10|62903
85|85|2014-06-10|62903
86|86|2014-06-10|62903
87|87|2014-06-10|62903
88|88|2014-06-10|62903
89|89|2014-06-10|62903
90|90|2014-06-10|62903
91|91|2014-06-10|62903
92|92|2014-06-10|62903
93|93|2014-06-10|62903
94|94|2014-06-10|62903
95|95|2014-06-10|62903
96|96|2014-06-10|62903
97|97|2014-06-10|62903
98|98|2014-06-10|62903
99|99|2014-06-10|62903
100|100|2014-06-10|62903
101|101|2014-06-10|62903
102|102|2014-06-10|62903
103|103|2014-06-10|62903
104|104|2014-06-10|62903
105|105|2014-06-10|62903
106|106|2014-06-10|62903
107|107|2014-06-10|62903
108|108|2014-06-10|62903
109|109|2014-06-10|62903
110|110|2014-06-10|62903
111|111|2014-06-10|62903
112|112|2014-06-10|62903
113|113|2014-06-10|62903
114|114|2014-06-10|62903
115|115|2014-06-10|62903
116|116|2014-06-10|62903
117|117|2014-06-10|62903
118|118|2014-06-10|62903
119|119|2014-06-10|62903
120|120|2014-06-10|62903
121|121|2014-06-10|62903
122|122|2014-06-10|62903
123|123|2014-06-10|62903
124|124|2014-06-10|62903
125|125|2014-06-10|62903
126|126|2014-06-10|62903
127|127|2014-06-10|62903
128|128|2014-06-10|62903
129|129|2014-06-10|62903
130|130|2014-06-10|62903
131|131|2014-06-10|62903
132|132|2014-06-10|62903
133|133|2014-06-10|62903
134|134|2014-06-10|62903
135|135|2014-06-10|62903
136|136|2014-06-10|62903
137|137|2014-06-10|62903
138|138|2014-06-10|62903
139|139|2014-06-10|62903
140|140|2014-06-10|62903
141|141|2014-06-10|62903
142|142|2014-06-10|62903
143|143|2014-06-10|62903
144|144|2014-06-10|62903
145|145|2014-06-10|62903
146|146|2014-06-10|62903
147|147|2014-06-10|62903
148|148|2014-06-10|62903
149|149|2014-06-10|62903
150|150|2014-06-10|62903
151|151|2014-06-10|62903
152|152|2014-06-10|62903
153|153|2014-06-10|62903
154|154|2014-06-10|62903
155|155|2014-06-10|62903
156|156|2014-06-10|62903
157|157|2014-06-10|62903
158|158|2014-06-10|62903
159|159|2014-06-10|62903
160|160|2014-06-10|62903
161|161|2014-06-10|62903
162|162|2014-06-10|62903
163|163|2014-06-10|62903
164|164|2014-06-10|62903
165|165|2014-06-10|62903
166|166|2014-06-10|62903
167|167|2014-06-10|62903
168|168|2014-06-10|62903
169|169|2014-06-10|62903
170|170|2014-06-10|62903
171|171|2014-06-10|62903
172|172|2014-06-10|62903
173|173|2014-06-10|62903
174|174|2014-06-10|62903
175|175|2014-06-10|62903
176|176|2014-06-10|62903
177|177|2014-06-10|62903
178|178|2014-06-10|62903
179|179|2014-06-10|62903
180|180|2014-06-10|62903
181|181|2014-06-10|62903
182|182|2014-06-10|62903
183|183|2014-06-10|62903
184|184|2014-06-10|62903
185|185|2014-06-10|62903
186|186|2014-06-10|62903
187|187|2014-06-10|62903
188|188|2014-06-10|62903
189|189|2014-06-10|62903
190|190|2014-06-10|62903
191|191|2014-06-10|62903
192|192|2014-06-10|62903
193|193|2014-06-10|62903
194|194|2014-06-10|62903
195|195|2014-06-10|62903
196|196|2014-06-10|62903
197|197|2014-06-10|62903
198|198|2014-06-10|62903
199|199|2014-06-10|62903
200|200|2014-06-10|62903
201|201|2014-06-10|62903
202|202|2014-06-10|62903
203|203|2014-06-10|62903
204|204|2014-06-10|62903
205|205|2014-06-10|62903
206|206|2014-06-10|62903
207|207|2014-06-10|62903
208|208|2014-06-10|62903
209|209|2014-06-10|62903
210|210|2014-06-10|62903
211|211|2014-06-10|62903
212|212|2014-06-10|62903
213|213|2014-06-10|62903
214|214|2014-06-10|62903
215|215|2014-06-10|62903
216|216|2014-06-10|62903
217|217|2014-06-10|62903
218|218|2014-06-10|62903
219|219|2014-06-10|62903
220|220|2014-06-10|62903
221|221|2014-06-10|62903
222|222|2014-06-10|62903
223|223|2014-06-10|62903
224|224|2014-06-10|62903
225|225|2014-06-10|62903
226|226|2014-06-10|62903
227|227|2014-06-10|62903
228|228|2014-06-10|62903
229|229|2014-06-10|62903
230|230|2014-06-10|62903
231|231|2014-06-10|62903
232|232|2014-06-10|62903
233|233|2014-06-10|62903
234|234|2014-06-10|62903
235|235|2014-06-10|62903
236|236|2014-06-10|62903
237|237|2014-06-10|62903
238|238|2014-06-10|62903
