Portfolio_Id|_CurrencyId|_ExternalId|PortfolioList_Id|DataEffectiveDT|DataObjectInstanceVersionKey
2584|JPY|FSUSA0ARPM|2584|2014-06-10|62903
2585|JPY|FSUSA0ARPO|2585|2014-06-10|62903
2586|JPY|FSUSA0ASBF|2586|2014-06-10|62903
2587|JPY|F00000H5NP|2587|2014-06-10|62903
2588|JPY|FSUSA0ASQ1|2588|2014-06-10|62903
2589|JPY|FSUSA0ASQ3|2589|2014-06-10|62903
2590|JPY|FSUSA0ASQ5|2590|2014-06-10|62903
2591|JPY|FSUSA0ASXN|2591|2014-06-10|62903
2592|JPY|FSUSA0ASXQ|2592|2014-06-10|62903
2593|JPY|FSUSA0ASXR|2593|2014-06-10|62903
2594|JPY|FSUSA0ASXT|2594|2014-06-10|62903
2595|JPY|FSUSA0ASXV|2595|2014-06-10|62903
2596|JPY|FSUSA0ATUN|2596|2014-06-10|62903
2597|JPY|FSUSA0AUTK|2597|2014-06-10|62903
2598|JPY|FSUSA0AVO6|2598|2014-06-10|62903
2599|JPY|FSUSA0AVW3|2599|2014-06-10|62903
2600|JPY|FSUSA0AW08|2600|2014-06-10|62903
2601|JPY|FSUSA0AW0A|2601|2014-06-10|62903
2602|JPY|FSUSA0AW1P|2602|2014-06-10|62903
2603|JPY|FSUSA0AW1R|2603|2014-06-10|62903
2604|JPY|FSUSA0AW2I|2604|2014-06-10|62903
2605|JPY|FSUSA0AW68|2605|2014-06-10|62903
2606|JPY|FSUSA0AWU4|2606|2014-06-10|62903
2607|JPY|FSUSA0AWYL|2607|2014-06-10|62903
2608|JPY|FSUSA0AXFW|2608|2014-06-10|62903
2609|JPY|FSUSA0AXJ4|2609|2014-06-10|62903
2610|JPY|FSUSA0AXUR|2610|2014-06-10|62903
2611|JPY|FSUSA0AXWE|2611|2014-06-10|62903
2612|JPY|FSUSA0AXWP|2612|2014-06-10|62903
2613|JPY|FS00008ZO2|2613|2014-06-10|62903
2614|JPY|FS00008ZWH|2614|2014-06-10|62903
2615|JPY|FS00008ZWI|2615|2014-06-10|62903
2616|JPY|FS00008ZWK|2616|2014-06-10|62903
2617|JPY|FS00008ZWA|2617|2014-06-10|62903
2618|JPY|FS00008ZWC|2618|2014-06-10|62903
2619|JPY|FS00008ZWE|2619|2014-06-10|62903
2620|JPY|FS00008ZWG|2620|2014-06-10|62903
2621|JPY|FS0000906K|2621|2014-06-10|62903
2622|JPY|FS000090C3|2622|2014-06-10|62903
2623|JPY|FS000090C5|2623|2014-06-10|62903
2624|JPY|FS000090C7|2624|2014-06-10|62903
2625|JPY|F00000NC57|2625|2014-06-10|62903
2626|JPY|FS000090IO|2626|2014-06-10|62903
2627|JPY|FS000090O9|2627|2014-06-10|62903
2628|JPY|FS000090OB|2628|2014-06-10|62903
2629|JPY|FS000090OD|2629|2014-06-10|62903
2630|JPY|FS000090OF|2630|2014-06-10|62903
2631|JPY|FS000091DV|2631|2014-06-10|62903
2632|JPY|FS000091M8|2632|2014-06-10|62903
2633|JPY|FS000091MA|2633|2014-06-10|62903
2634|JPY|FS000091MC|2634|2014-06-10|62903
2635|JPY|FS000091ME|2635|2014-06-10|62903
2636|JPY|FS000091MG|2636|2014-06-10|62903
2637|JPY|FS000091MI|2637|2014-06-10|62903
2638|JPY|FS000091MK|2638|2014-06-10|62903
2639|JPY|FS000091Z0|2639|2014-06-10|62903
2640|JPY|FS000091Z2|2640|2014-06-10|62903
2641|JPY|FS000092AF|2641|2014-06-10|62903
2642|JPY|FS000092AH|2642|2014-06-10|62903
