PortfolioBreakdown_Id|_SalePosition|Portfolio_Id|DataEffectiveDT|DataObjectInstanceVersionKey
1|L|1|2014-06-10|62903
2|N|1|2014-06-10|62903
3|L|2|2014-06-10|62903
4|N|2|2014-06-10|62903
5|L|3|2014-06-10|62903
6|N|3|2014-06-10|62903
7|L|4|2014-06-10|62903
8|N|4|2014-06-10|62903
9|L|5|2014-06-10|62903
10|S|5|2014-06-10|62903
11|N|5|2014-06-10|62903
12|L|6|2014-06-10|62903
13|N|6|2014-06-10|62903
14|L|7|2014-06-10|62903
15|N|7|2014-06-10|62903
16|L|8|2014-06-10|62903
17|N|8|2014-06-10|62903
18|L|9|2014-06-10|62903
19|N|9|2014-06-10|62903
20|L|10|2014-06-10|62903
21|N|10|2014-06-10|62903
22|L|11|2014-06-10|62903
23|N|11|2014-06-10|62903
24|L|12|2014-06-10|62903
25|N|12|2014-06-10|62903
26|L|13|2014-06-10|62903
27|S|13|2014-06-10|62903
28|N|13|2014-06-10|62903
29|L|14|2014-06-10|62903
30|N|14|2014-06-10|62903
31|L|15|2014-06-10|62903
32|N|15|2014-06-10|62903
33|L|16|2014-06-10|62903
34|N|16|2014-06-10|62903
35|L|17|2014-06-10|62903
36|S|17|2014-06-10|62903
37|N|17|2014-06-10|62903
38|L|18|2014-06-10|62903
39|N|18|2014-06-10|62903
40|S|19|2014-06-10|62903
41|N|19|2014-06-10|62903
42|L|19|2014-06-10|62903
43|S|20|2014-06-10|62903
44|N|20|2014-06-10|62903
45|L|20|2014-06-10|62903
46|L|21|2014-06-10|62903
47|N|21|2014-06-10|62903
48|L|22|2014-06-10|62903
49|S|22|2014-06-10|62903
50|N|22|2014-06-10|62903
51|L|23|2014-06-10|62903
52|N|23|2014-06-10|62903
53|L|24|2014-06-10|62903
54|N|24|2014-06-10|62903
55|L|25|2014-06-10|62903
56|N|25|2014-06-10|62903
57|L|26|2014-06-10|62903
58|N|26|2014-06-10|62903
59|L|27|2014-06-10|62903
60|N|27|2014-06-10|62903
61|L|28|2014-06-10|62903
62|N|28|2014-06-10|62903
63|L|29|2014-06-10|62903
64|N|29|2014-06-10|62903
65|L|30|2014-06-10|62903
66|N|30|2014-06-10|62903
67|S|31|2014-06-10|62903
68|N|31|2014-06-10|62903
69|L|31|2014-06-10|62903
70|L|32|2014-06-10|62903
71|N|32|2014-06-10|62903
72|L|33|2014-06-10|62903
73|N|33|2014-06-10|62903
74|L|34|2014-06-10|62903
75|N|34|2014-06-10|62903
76|L|35|2014-06-10|62903
77|N|35|2014-06-10|62903
78|L|36|2014-06-10|62903
79|N|36|2014-06-10|62903
80|L|37|2014-06-10|62903
81|N|37|2014-06-10|62903
82|L|38|2014-06-10|62903
83|S|38|2014-06-10|62903
84|N|38|2014-06-10|62903
85|L|39|2014-06-10|62903
86|N|39|2014-06-10|62903
87|S|40|2014-06-10|62903
88|N|40|2014-06-10|62903
89|L|40|2014-06-10|62903
90|L|41|2014-06-10|62903
91|S|41|2014-06-10|62903
92|N|41|2014-06-10|62903
93|L|42|2014-06-10|62903
94|N|42|2014-06-10|62903
95|L|43|2014-06-10|62903
96|N|43|2014-06-10|62903
97|L|44|2014-06-10|62903
98|N|44|2014-06-10|62903
99|L|45|2014-06-10|62903
100|N|45|2014-06-10|62903
101|L|46|2014-06-10|62903
102|N|46|2014-06-10|62903
103|L|47|2014-06-10|62903
104|N|47|2014-06-10|62903
105|L|48|2014-06-10|62903
106|N|48|2014-06-10|62903
107|L|49|2014-06-10|62903
108|N|49|2014-06-10|62903
109|L|50|2014-06-10|62903
110|N|50|2014-06-10|62903
111|L|51|2014-06-10|62903
112|N|51|2014-06-10|62903
113|L|52|2014-06-10|62903
114|N|52|2014-06-10|62903
115|L|53|2014-06-10|62903
116|N|53|2014-06-10|62903
117|L|54|2014-06-10|62903
118|N|54|2014-06-10|62903
119|L|55|2014-06-10|62903
120|N|55|2014-06-10|62903
121|L|56|2014-06-10|62903
122|S|56|2014-06-10|62903
123|N|56|2014-06-10|62903
124|S|57|2014-06-10|62903
125|N|57|2014-06-10|62903
126|L|57|2014-06-10|62903
127|L|58|2014-06-10|62903
128|S|58|2014-06-10|62903
129|N|58|2014-06-10|62903
130|S|59|2014-06-10|62903
131|N|59|2014-06-10|62903
132|L|59|2014-06-10|62903
133|L|60|2014-06-10|62903
134|N|60|2014-06-10|62903
135|S|61|2014-06-10|62903
136|N|61|2014-06-10|62903
137|L|61|2014-06-10|62903
138|L|62|2014-06-10|62903
139|N|62|2014-06-10|62903
140|L|63|2014-06-10|62903
141|N|63|2014-06-10|62903
142|L|64|2014-06-10|62903
143|N|64|2014-06-10|62903
144|L|65|2014-06-10|62903
145|S|65|2014-06-10|62903
146|N|65|2014-06-10|62903
